integrate_kazakhstan_title;Integrate Kazakhstan;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_kazakhstan_desc;With the central states in Asia under our control, the only one remaining is Kazakhstan. It's time we make it an integral part of Russia.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_tibet_title;Greater Tibet;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_tibet_desc;The Tibetan Empire once ruled a vast land that was taken away from us by the barbarians. The Tibetan people still live in these lands and the time has come for us the claim whats historically ours.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_timor_title;Reorganize Timor;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_timor_desc;Now that we have taken possession of Dili, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_timor_title;Organize Timor;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_timor_desc;To better take advantage of our colonies in Timor, we should organize and centralize the administration while modernizing the country just enough to have a modern infrastructure.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abolish_wallachia_moldavia_title;Abolish Wallachia and Moldavia;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abolish_wallachia_moldavia_desc;The old divisions of Wallachia and Moldavia are now all but obsolete, Romania is united and the princely titles exist no more. It's time to abolish these obsolete divisions once and for all.;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
abolish_transylvania_title;Abolish Transylvania;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
abolish_transylvania_desc;The old division of Transylvania is now all but obsolete, Romania is united and the princely titles exist no more. It's time to abolish these obsolete divisions once and for all.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
st_barths_question_title;The Saint Barthélemy Question;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
st_barths_question_desc;The island of Saint Barthélemy had belonged to France until 1784, when it was transferred to Sweden in return for trade privileges in Gothenburg. However, the island proved expensive to maintain. We can push for an agreement and a referendum on the island status and future, but there's always the chance that they might cede the island to another power to avoid conflict with us. Even if we lost the referendum, we will still be able to claim the island.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
shinbutsu_bunri_title;Adopt the Shinbutsu Bunri;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
shinbutsu_bunri_desc;"The Japanese term shinbutsu bunri indicates the separation of Shinto from Buddhism, introduced after the Meiji Restoration, and therefore the separation of kami (native Shinto deities) from Buddhas (Buddhist deities), and of Buddhist temples from Shinto shrines (jinja). Until the end of the Edo period Shinto and Buddhism were intimately connected in what was called shinbutsu-shugo, to the point that the same buildings were often used as both Shinto shrines and Buddhist temples, and Shinto gods were interpreted as manifestations of Buddhas. The new government saw shinbutsu bunri as a way to reduce the immense wealth and power of the Buddhist sects. At the same time, it was supposed to give Shinto, and especially its cult of the Emperor, time to grow into an effective vehicle for nationalism. A first order issued by the Jingijimuka on $YEAR$ ordered the defrocking of shaso and betto (shrine monks performing Buddhist rites at Shinto shrines). A few days later, the Daijokan banned the application of Buddhist terminology such as gongen to Japanese kami and the veneration of Buddhist statues in shrines. Next came a ban on applying the Buddhist term Daibosatsu (Great Bodhisattva) to the syncretic kami Hachiman at the Iwashimizu Hachiman-gu and Usa Hachiman-gu shrines.In the final stage, all the defrocked betto and shaso were told to become ""shrine priests"" (kannushi) and return to their shrines. Also, monks of the Nichiren sect were told not to refer to some deities as kami.";;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
imperial_rescript_title;The Imperial Rescript on Education;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
imperial_rescript_desc;Following the Meiji Restoration, the leadership of the Meiji government felt the need to emphasize the common goals of rapid modernization (westernization) with support and legitimization of the political system centered on the imperial institution. In the 1870s and 1880s, Motoda Nagazane and other conservatives pushed for a revival of the principles of Confucianism as a guide for education and public morality;" however, Inoue Kowashi and other proponents of the 'modernization' of Japan felt that this would encourage a return to the old feudal order, and pushed for an ""emperor-centered"" philosophy. Prime Minister Yamagata Aritomo authorized the drafting of the Rescript, which was a compromise written largely by Inoue Kowashi with input from Motoda Nagazane and others. After it was issued, the Rescript was distributed to all schools in the country, together with a portrait of Emperor Meiji.";;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
selangor_protectorate_title;The Selangor Resident;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
selangor_protectorate_desc;In the 19th century the importance of Selangor greatly increased by the rapid expansion of tin mining as a result of the increased demand for tin from the West. The desire to control the Klang Valley led directly to the Selangor Civil War (also called the Klang War) when Raja Mahdi fought to regain what he considered his birthright as territorial chief against Raja Abdullah. In $YEAR$ however, a ship from Penang was attacked by pirates near Kuala Langat, Selangor. After a number of piracy attacks took place in Selangor, a $COUNTRY_ADJ$ Resident was assigned as a live-in advisor to Sultan Abdul Samad, making the rule a mere puppet.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
perak_protectorate_title;The Perak Resident;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
perak_protectorate_desc;In $YEAR$, the Sultan of Perak went to $CAPITAL$ seeking the recognition from the $COUNTRY_ADJ$ $MONARCHTITLE$ on his sultanate sovereignty over Perak. The Sultanate was shaken by the threat of a civil war and our military could help stabilize it. By accepting the Sultan's request and signing a friendship treaty, we will be able to establish a protectorate over Perak.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pahang_protectorate_title;The Pahang Succession;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pahang_protectorate_desc;As the Johor Empire was falling apart with the loss of the Riau-Lingga territories, Temenggung Ibrahim of Johor understood this situation and quickly signed a treaty with Bendahara Tun Mutahir of Pahang. The treaty recognizes the territories of Johor (mainland), the Temenggung and his descendent's right to rule it, mutual protection and mutual recognitions of Pahang and Johor. With the signing of this treaty, the remnants of the Empire became two independent states, Johor and Pahang. Later, Pahang was fought over in a civil war between the two sons of the reigning Bendahara of Pahang. The war ended when Wan Ahmad was proclaimed the new sultan in $YEAR$, but his role from that point onward was largely ceremonial, as the $COUNTRY_ADJ$ forced him to sign a treaty bringing the country under control of a $COUNTRY_ADJ$ Resident.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
johor_protectorate_title;Establish the Johor Protectorate;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
johor_protectorate_desc;In $YEAR$, the Sultan of Johor went to $CAPITAL$ seeking the recognition from the $COUNTRY_ADJ$ $MONARCHTITLE$ on his sultanate and Johor's independence. The Sultanate was shaken by civil war, internal strife and succession crisis. The once powerful sultanate is now a shell of its former self, weak and shaken. By accepting the Sultan's request and signing a friendship treaty and formally crowning him as the Sultan of Johor, we will be able to establish a protectorate over Johor.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
formosa_independence_title;Assert Independence;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
formosa_independence_desc;The rebellious government in China tried unsuccessfully to defeat the rightful government - our government - by invading Formosa, but they failed. It's time to assert our independence and negotiate with the great powers and the rebels our perpetual independence and our recognition as a free country.;;;;;;;;;;;;x ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
occupy_kita_ezo_title;Conquer Kita Ezo;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
occupy_kita_ezo_desc;Foreigner powers encroach our territory, we need to show our strength by consolidating our grip over Kita Ezo, as Russian influence grows from the west and threatens to engulf the island and its native inhabitants.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_croatia_title;Velika Hrvatska;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_croatia_desc;The concept of a Greater Croatian state has its modern origins with the Illyrian movement, a pan-South-Slavist cultural and political campaign with roots in the early modern period, and revived by a group of young Croatian intellectuals during the first half of the 19th century. Although this movement arose in the developing European nationalist context of the time, it particularly arose as a response to the more powerful nationalist stirrings in the then-Kingdom of Hungary, of which Croatia was a part.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annex_sigmaringen_title;Create the Province of Hohenzollern;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annex_sigmaringen_desc;The principalities of Hohenzollern-Sigmaringen and Hohenzollern-Hechingen, both independent principalities ruled by the Catholic princely lines of the House of Hohenzollern, are inherently tied to our country. The tumultuous atmosphere of the liberal revolutions left the catholic princes willing to negotiate and now they are both in a position to hand over their sovereignty to us.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
establish_the_majles_title;Establish the Majles;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
establish_the_majles_desc;Now that our great state finally has a Constitution stating the rules of the Law, we need to establish a Parliament to assure that it is uphold and the executive doesn't abuse its power. Let's unite the representatives of the people! Long live the Majles-e Shora-ye Eslami!;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
anglo_persian_oil_company_title;Found the Anglo-Persian Oil Company;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
anglo_persian_oil_company_desc;"The English Anglo-Persian Oil Company was the first company to extract petroleum from Iran. In 1901 William Knox D'Arcy negotiated an oil concession with Mozaffar al-Din: he would assume exclusive rights to prospect for 60 years in a vast tract of territory and in exchange the Shah received 20,000 pounds, an equal amount in shares, and a promise of future profits. In early May 1908 D'Arcy, having sunk more than 500,000 pounds into their Persian venture and found no oil, sent a telegram saying that they had run out of money and ordering to ""cease work, dismiss the staff, dismantle anything worth the cost and come home."" The geologist Geroge Bernard Reynolds delayed following these orders and in a stroke of luck, struck oil shortly after on May 26, 1908.";;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_sakhalin_china_title;Claim Sakhalin;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
claim_sakhalin_china_desc;The eastern natural frontier of $COUNTRY$ always has been the Sakhalin islands, but our nation has been humiliated for too long by the foreign barbarians. It's time to revoke the unequal treaties, the forced terms and armistices that made the old rulers relinquish our rights over our old territory. It's time to bring the eastern border back under our control.;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
selling_danish_india_title;Selling Danish India;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
selling_danish_india_desc;During the Napoleonic Wars, the British attacked Danish shipping, and devastated the Danish East India Company's India trade. In May 1801 – August 1802 and 1808 – 20 September 1815 the British even occupied Dansborg and Frederiksnagore. The Danish colonies went into decline and now it's time to find a new owner for them. Our estimative is that we can get 20,000¤ for our cities in India.;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
gadsden_purchase_title;The Gadsden Purchase;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
gadsden_purchase_desc;Questions and disputes linger, unresolved, with Mexico. Natives on the rims of our territory attack our neighbor and we agreed to protect them from that, but the lack of control didn't help and the attacks carry on. The Mexicans also claim we owe them indemnity over the attacks and argue we agreed to pay under the conditions of our last treaty. These continuing tensions between Mexico and us complicated our efforts to find a southern route for a transcontinental railroad as the only viable routes passed through Mexican territory. Attempting to defuse the situation, $COUNTRY_ADJ$ $MONARCHTITLE$ sent James Gadsden, the new $COUNTRY_ADJ$ Minister to Mexico, to negotiate with Santa Anna. Secretary of State William Marcy instructed Gadsden to renegotiate a border that provided a route for a southern railroad, arrange for a release of $COUNTRY_ADJ$ financial obligations for Native American attacks, and settle the monetary claims between the countries related to the Garay project.\n\n§RNOTE: You need 100,000¤ to buy all the land if the Mexican government agrees to it. 50,000¤ is the minimum for the minimum land purchase.§W;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
restore_miskito_title;The Restoration of the Miskito Kingdom;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
restore_miskito_desc;With our enemies defeated, we can force their hand in the peace deal to restore the Miskito Kingdom.;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
occupy_miskito_title;Annex the Miskito Reserve;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
occupy_miskito_desc;Historically a British colony and protectorate, the Miskito Coast was claimed by $COUNTRY$ and later granted self rule under $COUNTRY$ by King George Augustus Fredric II, who accepted the change on condition that he should retain his local authority, and receive a yearly subvention of a thousand pounds until 1870. On his death in 1865, his successor, William Henry Clarence, wasn't recognized by our government and with their allies and protectors far away, organizing a quick invasion and occupation of the territory who rightfully belongs to our country should be an easy affair.;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
dutch_wallonia_title;$COUNTRY_ADJ$ Wallonia;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
dutch_wallonia_desc;During the Belgian independence, the Walloons renamed the towns, natural features, roads and villages in their language. With the return of the rightful $COUNTRY_ADJ$ rule in the region, there would be nothing more natural than restoring the proper names.;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
standard_wallonia_title;Restoring Wallonia;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
standard_wallonia_desc;The Dutch renamed all towns, signs and documents during their occupation of Wallonia. No more! It's time to restore the proper names, culture and language of the region.;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
texan_claims_title;The Texan Claims;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
texan_claims_desc;"Hoping that, after peace is made with Mexico, they could build a railroad to the Gulf of California to give ""access to the East Indian, Peruvian and Chilean trade"", the Texan leaders decided to claim the Rio Grande as the boundary with Mexico, including much of New Mexico.";;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
